snapshot,code,service,offices,capacity
2024-12,03484,地域密着型通所介護,1,0
2024-12,03484,居宅介護支援,2,156
2024-12,03484,短期入所生活介護,2,10
2024-12,03484,訪問介護,1,0
2024-12,03484,訪問看護,1,0
2024-12,03484,認知症対応型共同生活介護,2,18
2024-12,03484,認知症対応型通所介護,1,6
2024-12,03485,介護老人福祉施設,1,0
2024-12,03485,小規模多機能型居宅介護,1,18
2024-12,03485,居宅介護支援,1,0
2024-12,03485,短期入所生活介護,1,0
2024-12,03485,訪問介護,1,0
2024-12,03485,認知症対応型共同生活介護,1,9
2024-12,03485,通所介護,1,0
2024-12,03501,介護老人保健施設,1,0
2024-12,03501,介護老人福祉施設,2,0
2024-12,03501,小規模多機能型居宅介護,1,29
2024-12,03501,居宅介護支援,3,2
2024-12,03501,短期入所生活介護,2,0
2024-12,03501,短期入所療養介護（介護老人保健施設）,1,0
2024-12,03501,訪問介護,4,0
2024-12,03501,認知症対応型共同生活介護,1,9
2024-12,03501,通所リハビリテーション,1,0
2024-12,03501,通所介護,2,0
2024-12,03503,介護老人福祉施設,1,0
2024-12,03503,地域密着型介護老人福祉施設入所者生活介護,1,0
2024-12,03503,地域密着型通所介護,1,10
2024-12,03503,居宅介護支援,1,0
2024-12,03503,短期入所生活介護,2,0
2024-12,03503,訪問介護,1,0
2024-12,03503,訪問看護,1,0
2024-12,03503,認知症対応型共同生活介護,1,18
2024-12,03503,認知症対応型通所介護,1,0
2024-12,03503,通所介護,1,0
2024-12,03506,介護老人福祉施設,1,0
2024-12,03506,地域密着型介護老人福祉施設入所者生活介護,2,0
2024-12,03506,地域密着型通所介護,1,0
2024-12,03506,居宅介護支援,2,0
2024-12,03506,短期入所生活介護,4,0
2024-12,03506,訪問介護,4,0
2024-12,03506,認知症対応型共同生活介護,1,0
2024-12,03506,通所介護,3,165
2024-12,03507,介護老人保健施設,2,0
2024-12,03507,介護老人福祉施設,2,0
2024-12,03507,地域密着型介護老人福祉施設入所者生活介護,1,29
2024-12,03507,地域密着型特定施設入居者生活介護（有料老人ホーム）,1,0
2024-12,03507,地域密着型通所介護,2,7
2024-12,03507,小規模多機能型居宅介護,5,0
2024-12,03507,居宅介護支援,6,175
2024-12,03507,短期入所生活介護,3,14
2024-12,03507,短期入所療養介護（介護老人保健施設）,2,0
2024-12,03507,訪問リハビリテーション,1,0
2024-12,03507,訪問介護,3,0
2024-12,03507,訪問看護,1,0
2024-12,03507,認知症対応型共同生活介護,4,18
2024-12,03507,認知症対応型通所介護,1,0
2024-12,03507,通所リハビリテーション,1,0
2024-12,03507,通所介護,4,0
2024-12,03524,介護老人保健施設,1,0
2024-12,03524,介護老人福祉施設,1,0
2024-12,03524,地域密着型介護老人福祉施設入所者生活介護,2,0
2024-12,03524,地域密着型通所介護,1,0
2024-12,03524,居宅介護支援,4,0
2024-12,03524,短期入所生活介護,5,30
2024-12,03524,短期入所療養介護（介護老人保健施設）,1,0
2024-12,03524,訪問介護,2,0
2024-12,03524,訪問看護,1,0
2024-12,03524,認知症対応型共同生活介護,1,0
2024-12,03524,通所介護,4,25
2026-06,03201,介護医療院,6,18
2026-06,03201,介護老人保健施設,9,178
2026-06,03201,介護老人福祉施設,22,695
2026-06,03201,地域密着型介護老人福祉施設入所者生活介護,4,58
2026-06,03201,地域密着型通所介護,54,851
2026-06,03201,定期巡回・随時対応型訪問介護看護,3,0
2026-06,03201,小規模多機能型居宅介護,9,58
2026-06,03201,居宅介護支援,101,2399
2026-06,03201,特定施設入居者生活介護（サービス付き高齢者向け住宅・外部サービス利用型）,1,0
2026-06,03201,特定施設入居者生活介護（サービス付き高齢者向け住宅）,2,0
2026-06,03201,特定施設入居者生活介護（有料老人ホーム）,7,287
2026-06,03201,特定施設入居者生活介護（軽費老人ホーム）,4,116
2026-06,03201,特定福祉用具販売,18,0
2026-06,03201,看護小規模多機能型居宅介護,2,0
2026-06,03201,短期入所生活介護,30,326
2026-06,03201,短期入所療養介護（介護医療院）,3,0
2026-06,03201,短期入所療養介護（介護老人保健施設）,9,5
2026-06,03201,福祉用具貸与,18,0
2026-06,03201,訪問リハビリテーション,22,283
2026-06,03201,訪問介護,114,649
2026-06,03201,訪問入浴介護,2,0
2026-06,03201,訪問看護,49,590
2026-06,03201,認知症対応型共同生活介護,30,222
2026-06,03201,認知症対応型通所介護,3,24
2026-06,03201,通所リハビリテーション,26,439
2026-06,03201,通所介護,79,929
2026-06,03202,介護老人保健施設,2,196
2026-06,03202,介護老人福祉施設,5,103
2026-06,03202,地域密着型介護老人福祉施設入所者生活介護,2,0
2026-06,03202,地域密着型特定施設入居者生活介護（有料老人ホーム）,1,21
2026-06,03202,地域密着型通所介護,10,51
2026-06,03202,小規模多機能型居宅介護,6,58
2026-06,03202,居宅介護支援,21,575
2026-06,03202,特定福祉用具販売,5,0
2026-06,03202,短期入所生活介護,7,12
2026-06,03202,短期入所療養介護（介護老人保健施設）,2,5
2026-06,03202,福祉用具貸与,5,0
2026-06,03202,訪問リハビリテーション,2,8
2026-06,03202,訪問介護,16,16
2026-06,03202,訪問入浴介護,2,0
2026-06,03202,訪問看護,7,53
2026-06,03202,認知症対応型共同生活介護,19,126
2026-06,03202,認知症対応型通所介護,3,3
2026-06,03202,通所リハビリテーション,3,85
2026-06,03202,通所介護,9,135
2026-06,03203,介護老人保健施設,1,0
2026-06,03203,介護老人福祉施設,5,0
2026-06,03203,地域密着型介護老人福祉施設入所者生活介護,2,0
2026-06,03203,地域密着型通所介護,7,32
2026-06,03203,小規模多機能型居宅介護,8,25
2026-06,03203,居宅介護支援,10,0
2026-06,03203,特定福祉用具販売,3,0
2026-06,03203,短期入所生活介護,6,0
2026-06,03203,短期入所療養介護（介護老人保健施設）,1,0
2026-06,03203,福祉用具貸与,3,0
2026-06,03203,訪問リハビリテーション,1,0
2026-06,03203,訪問介護,6,30
2026-06,03203,訪問入浴介護,1,0
2026-06,03203,訪問看護,3,0
2026-06,03203,認知症対応型共同生活介護,6,9
2026-06,03203,通所リハビリテーション,1,0
2026-06,03203,通所介護,5,0
2026-06,03205,介護医療院,1,0
2026-06,03205,介護老人保健施設,6,235
2026-06,03205,介護老人福祉施設,9,154
2026-06,03205,地域密着型介護老人福祉施設入所者生活介護,10,87
2026-06,03205,地域密着型通所介護,8,68
2026-06,03205,小規模多機能型居宅介護,4,80
2026-06,03205,居宅介護支援,25,944
2026-06,03205,特定施設入居者生活介護（有料老人ホーム）,1,0
2026-06,03205,特定施設入居者生活介護（軽費老人ホーム）,2,0
2026-06,03205,特定福祉用具販売,3,0
2026-06,03205,看護小規模多機能型居宅介護,1,29
2026-06,03205,短期入所生活介護,23,109
2026-06,03205,短期入所療養介護（介護医療院）,1,0
2026-06,03205,短期入所療養介護（介護老人保健施設）,6,0
2026-06,03205,福祉用具貸与,3,0
2026-06,03205,訪問リハビリテーション,2,0
2026-06,03205,訪問介護,20,158
2026-06,03205,訪問入浴介護,5,5
2026-06,03205,訪問看護,6,180
2026-06,03205,認知症対応型共同生活介護,15,144
2026-06,03205,認知症対応型通所介護,2,3
2026-06,03205,通所リハビリテーション,9,30
2026-06,03205,通所介護,25,356
2026-06,03206,介護老人保健施設,4,104
2026-06,03206,介護老人福祉施設,5,110
2026-06,03206,地域密着型介護老人福祉施設入所者生活介護,4,78
2026-06,03206,地域密着型特定施設入居者生活介護（有料老人ホーム）,1,0
2026-06,03206,地域密着型特定施設入居者生活介護（軽費老人ホーム）,1,0
2026-06,03206,地域密着型通所介護,4,28
2026-06,03206,定期巡回・随時対応型訪問介護看護,1,0
2026-06,03206,小規模多機能型居宅介護,5,93
2026-06,03206,居宅介護支援,17,993
2026-06,03206,特定施設入居者生活介護（軽費老人ホーム）,1,30
