code,service,offices,with_url
03501,施設入所支援,1,1
03501,生活介護,2,2
03501,短期入所,1,1
03501,自立生活援助,1,1
03501,計画相談支援,1,1
03501,重度訪問介護,2,1
03501,障害児相談支援,1,1
03503,共同生活援助,2,0
03503,同行援護,1,0
03503,就労継続支援Ｂ型,1,1
03503,居宅介護,1,0
03503,放課後等デイサービス,1,0
03503,重度訪問介護,1,0
03506,共同生活援助,1,0
03506,居宅介護,1,1
03506,重度訪問介護,1,1
03507,共同生活援助,1,1
03507,就労継続支援Ｂ型,2,0
03507,居宅介護,1,1
03507,放課後等デイサービス,2,1
03507,生活介護,1,0
03507,計画相談支援,3,1
03507,重度訪問介護,1,1
03507,障害児相談支援,3,1
03524,保育所等訪問支援,1,1
03524,児童発達支援,1,1
03524,共同生活援助,5,5
03524,同行援護,1,1
03524,地域相談支援（地域定着支援）,1,1
03524,地域相談支援（地域移行支援）,1,1
03524,就労定着支援,1,1
03524,就労継続支援Ａ型,2,2
03524,就労継続支援Ｂ型,6,5
03524,居宅介護,4,2
03524,放課後等デイサービス,1,1
03524,施設入所支援,5,5
03524,生活介護,10,10
03524,短期入所,7,7
03524,自立生活援助,1,1
03524,行動援護,1,0
03524,計画相談支援,2,2
03524,障害児相談支援,2,2
